SM00101	14_3_3: 14-3-3 homologues
SM00363	S4: S4 RNA-binding domain
SM00970	s48_45: Sexual stage antigen s48/45 domain
SM00197	SAA: Serum amyloid A proteins
SM00858	SAF: 
SM00454	SAM: Sterile alpha motif.
SM00251	SAM_PNT: SAM / Pointed domain
SM00258	SAND: SAND domain
SM00717	SANT: SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
SM00513	SAP: Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation
SM00162	SAPA: Saposin/surfactant protein-B A-type DOMAIN
SM00741	SapB: Saposin (B) Domains
SM00178	SAR: Sar1p-like members of the Ras-family  of small GTPases
SM00971	SATase_N: Serine acetyltransferase, N-terminal
SM00431	SCAN: leucine rich region
SM00198	SCP: SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
SM00972	SCPU: Spore Coat Protein U domain
SM00199	SCY: Intercrine alpha family (small cytokine C-X-C) (chemokine CXC).
SM00200	SEA: Domain found in sea urchin sperm protein, enterokinase, agrin
SM00516	SEC14: Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)
SM01313	Sec3-PIP2_bind: Exocyst complex component SEC3 N-terminal PIP2 binding PH
SM00973	Sec63: Sec63 Brl domain  
SM00222	Sec7: Sec7 domain
SM00957	SecA_DEAD: SecA DEAD-like domain
SM00958	SecA_PP_bind: SecA preprotein cross-linking domain
SM00671	SEL1: Sel1-like repeats.
SM00630	Sema: semaphorin domain
SM00859	Semialdhyde_dh: Semialdehyde dehydrogenase, NAD binding domain
SM00553	SEP: Domain present in Saccharomyces cerevisiae Shp1, Drosophila melanogaster eyes closed gene (eyc), and vertebrate p47.
SM00093	SERPIN: SERine  Proteinase INhibitors
SM00317	SET: SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
SM00500	SFM: Splicing Factor Motif, present in Prp18 and Pr04
SM00019	SF_P: Pulmonary surfactant proteins
SM00252	SH2: Src homology 2 domains
SM00326	SH3: Src homology 3 domains
SM00287	SH3b: Bacterial SH3 domain homologues
SM00254	ShKT: ShK toxin domain
SM00786	SHR3_chaperone: ER membrane protein SH3
SM00512	Skp1: Found in Skp1 protein family
SM00651	Sm: snRNP Sm proteins
SM00010	small_GTPase: Small GTPase of the Ras superfamily; ill-defined subfamily
SM00968	SMC_hinge: SMC proteins Flexible Hinge Domain
SM00860	SMI1_KNR4: SMI1 / KNR4 family
SM00463	SMR: Small MutS-related domain
SM01314	SnAC: Snf2-ATP coupling, chromatin remodelling complex
SM00318	SNc: Staphylococcal nuclease homologues
SM00201	SO: Somatomedin B -like domains
SM00253	SOCS: suppressors of cytokine signalling
SM00969	SOCS_box: 
SM00459	Sorb: Sorbin homologous domain
SM00787	Spc7: Spc7 kinetochore protein
SM01315	Spc7_N: N-terminus of kinetochore NMS complex subunit Spc7 
SM00150	SPEC: Spectrin repeats
SM00583	SPK: 
SM01316	Spo7_2_N: Sporulation protein family 7
SM01317	SPOB_ab: Sporulation initiation phospho-transferase B, C-terminal 
SM00967	SpoU_sub_bind: RNA 2'-O ribose methyltransferase substrate binding
SM00966	SpoVT_AbrB: SpoVT / AbrB like domain 
SM00731	SprT: SprT homologues.
SM00449	SPRY: Domain in SPla and the RYanodine Receptor. 
SM01286	SPT16: FACT complex subunit (SPT16/CDC68)
SM00784	SPT2: SPT2 chromatin protein
SM01389	Spt4: Spt4/RpoE2 zinc finger
SM00202	SR: Scavenger receptor Cys-rich
SM00466	SRA: SET and RING finger associated domain. Domain of unknown function in SET domain containing proteins and in Deinococcus radiodurans DRA1533.
SM00962	SRP54: SRP54-type protein, GTPase domain
SM00963	SRP54_N: SRP54-type protein, helical bundle domain
SM00234	START: in StAR and phosphatidylcholine transfer protein
SM00964	STAT_int: STAT protein, protein interaction domain
SM00424	STE: STE like transcription factors
SM00452	STI: Soybean trypsin inhibitor (Kunitz) family of protease inhibitors
SM00727	STI1: Heat shock chaperonin-binding motif.
SM00220	S_TKc: Serine/Threonine protein kinases, catalytic domain
SM00133	S_TK_X: Extension to Ser/Thr-type protein kinases
SM00965	STN: Secretin and TonB N terminus short domain
SM00221	STYKc: Protein kinase; unclassified specificity.
SM01318	SVWC: Single domain von Willebrand factor type C
SM00648	SWAP: Suppressor-of-White-APricot splicing regulator
SM00151	SWIB: SWI complex, BAF60b domains
SM00503	SynN: Syntaxin N-terminal domain
SM00974	T5orf172: 
SM00803	TAF: TATA box binding protein associated factor
SM00549	TAFH: TAF homology
SM01370	TAFII55_N: TAFII55 protein conserved region
SM01342	TAN: Telomere-length maintenance and DNA damage repair
SM01319	Tankyrase_bdg_C: Tankyrase binding protein C terminal domain
SM00804	TAP_C: C-terminal domain of vertebrate Tap protein
SM00319	TarH: Homologues of the ligand binding domain of Tar
SM00164	TBC: Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
SM00425	TBOX: Domain first found  in the mice T locus (Brachyury) protein
SM00711	TDU: Short repeats in human TONDU, fly vestigial and other proteins.
SM00426	TEA: TEA domain
SM00706	TECPR: Beta propeller repeats in Physarum polycephalum tectonins, Limulus lectin L-6 and animal hypothetical proteins.
SM00976	Telo_bind: Telomeric single stranded DNA binding POT1/CDC13
SM00975	Telomerase_RBD: Telomerase ribonucleoprotein complex - RNA binding domain
SM01333	Tet_JBP: Oxygenase domain of the 2OGFeDO superfamily
SM01371	TFIIA: Transcription factor IIA, alpha/beta subunit
SM00531	TFIIE: Transcription initiation factor IIE
SM00510	TFS2M: Domain in the central regions of transcription elongation factor S-II (and elsewhere)
SM00509	TFS2N: Domain in the N-terminus of transcription elongation factor S-II (and elsewhere) 
SM00460	TGc: Transglutaminase/protease-like homologues
SM00204	TGFB: Transforming growth  factor-beta (TGF-beta) family
SM00980	THAP: 
SM00705	THEG: Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
SM00205	THN: Thaumatin family
SM00981	THUMP: 
SM00152	THY: Thymosin beta actin-binding motif.
SM01261	Thymopoietin: 
SM00979	TIFY: 
SM00977	TilS_C: TilS substrate C-terminal domain
SM00978	Tim44: 
SM00255	TIR: Toll - interleukin 1 - resistance
SM00203	TK: Tachykinin family
SM00724	TLC: TRAM, LAG1 and CLN8 homology domains.
SM00584	TLDc: domain in TBC and LysM domain containing proteins
SM00207	TNF: Tumour necrosis factor family.
SM00208	TNFR: Tumor necrosis factor receptor / nerve growth factor receptor repeats.
SM01349	TOG: 
SM00437	TOP1Ac: Bacterial DNA topoisomerase I DNA-binding domain
SM00436	TOP1Bc: Bacterial DNA topoisomeraes I ATP-binding domain
SM00433	TOP2c: TopoisomeraseII
SM00434	TOP4c: DNA Topoisomerase IV
SM00435	TOPEUc: DNA Topoisomerase I (eukaryota)
SM00493	TOPRIM: 
SM01341	Tower: 
SM00983	TPK_B1_binding: Thiamin pyrophosphokinase, vitamin B1 binding domain
SM00028	TPR: Tetratricopeptide repeats
SM00861	Transket_pyr: Transketolase, pyrimidine binding domain
SM00862	Trans_reg_C: Transcriptional regulatory protein, C terminal
SM00746	TRASH: metallochaperone-like domain
SM00982	TRCF: 
SM00094	TR_FER: Transferrin
SM00863	tRNA_SAD: Threonyl and Alanyl tRNA synthetase second additional domain
SM01320	TRP_N: ML-like domain
SM00095	TR_THY: Transthyretin
SM00020	Tryp_SPc: Trypsin-like serine protease
SM00397	t_SNARE: Helical region found in SNAREs
SM00209	TSP1: Thrombospondin type 1 repeats
SM00245	TSPc: tail specific protease
SM00210	TSPN: Thrombospondin N-terminal -like domains.
SM00864	Tubulin: Tubulin/FtsZ family, GTPase domain
SM00865	Tubulin_C: Tubulin/FtsZ family, C-terminal domain
SM00333	TUDOR: Tudor domain
SM00211	TY: Thyroglobulin type I repeats.
SM00219	TyrKc: Tyrosine kinase, catalytic domain
SM00594	UAS: 
SM00165	UBA: Ubiquitin associated domain
SM00985	UBA_e1_C: Ubiquitin-activating enzyme e1 C-terminal domain
SM00212	UBCc: Ubiquitin-conjugating enzyme E2, catalytic domain homologues
SM00504	Ubox: Modified RING finger domain
SM00213	UBQ: Ubiquitin homologues
SM00166	UBX: Domain present in ubiquitin-regulatory proteins
SM00800	uDENN: Domain always found upstream of DENN domain, found in a variety of signalling proteins
SM00986	UDG: Uracil DNA glycosylase superfamily
SM00984	UDPG_MGDP_dh_C: UDP binding domain
SM00726	UIM: Ubiquitin-interacting motif.
SM00802	UME: Domain in UVSB PI-3 kinase, MEI-41 and ESR-1
SM00987	UreE_C: UreE urease accessory protein, C-terminal domain 
SM00988	UreE_N: UreE urease accessory protein, N-terminal domain
SM00096	UTG: Uteroglobin
SM00866	UTRA: 
SM00989	V4R: 
SM00153	VHP: Villin headpiece domain
SM00288	VHS: Domain present in VPS-27, Hrs and STAM
SM00609	VIT: Vault protein Inter-alpha-Trypsin domain
SM00756	VKc: 
SM00602	VPS10: 
SM00167	VPS9: Domain present in VPS9
SM00990	VRR_NUC: 
SM00327	VWA: von Willebrand factor (vWF) type A domain
SM00214	VWC: von Willebrand factor (vWF) type C domain
SM00011	VWC_def: 
SM00215	VWC_out: von Willebrand factor (vWF) type C domain
SM00216	VWD: von Willebrand factor (vWF) type D domain
SM00217	WAP: Four-disulfide core domains
SM00320	WD40: WD40 repeats
SM00773	WGR: Proposed nucleic acid binding domain
SM00461	WH1: WASP homology region 1
SM00246	WH2: Wiskott Aldrich syndrome homology region 2
SM00991	WHEP-TRS: 
SM00769	WHy: Water Stress and Hypersensitive response
SM00469	WIF: Wnt-inhibitory factor-1 like domain
SM00097	WNT1: found in Wnt-1
SM00289	WR1: Worm-specific repeat type 1
SM00774	WRKY: DNA binding domain
SM00321	WSC: present in yeast cell wall integrity and stress response component proteins
SM00453	WSN: Worm-specific (usually) N-terminal domain
SM00456	WW: Domain with 2 conserved Trp (W) residues
SM00678	WWE: Domain in Deltex and TRIP12 homologues. Possibly involved in regulation of ubiquitin-mediated proteolysis.
SM00768	X8: Possibly involved in carbohydrate binding
SM00484	XPGI: Xeroderma pigmentosum G I-region
SM00485	XPGN: Xeroderma pigmentosum G N-region
SM00247	XTALbg: Beta/gamma crystallins
SM01321	Y1_Tnp: Transposase IS200 like
SM01322	YaeQ: 
SM01323	YajC: Preprotein translocase subunit
SM01324	YARHG: 
SM00992	YccV-like: Hemimethylated DNA-binding protein YccV like
SM00867	YceI: YceI-like domain 
SM00993	YL1_C: YL1 nuclear protein C-terminal domain
SM00732	YqgFc: Likely ribonuclease with RNase H fold.
SM00550	Zalpha: Z-DNA-binding domain in adenosine deaminases.
SM01327	Zds_C: Activator of mitotic machinery Cdc14 phosphatase activation C-term
SM01328	zf-3CxxC: Zinc-binding domain 
SM00868	zf-AD: Zinc-finger associated domain (zf-AD)
SM00994	zf-C4_ClpX: ClpX C4-type zinc finger
SM01336	zf-PARP: Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
SM00771	ZipA_C: ZipA, C-terminal domain (FtsZ-binding)
SM00735	ZM: ZASP-like motif
SM00770	Zn_dep_PLPC: Zinc dependent phospholipase C (alpha toxin)
SM00259	ZnF_A20: A20-like zinc fingers
SM00154	ZnF_AN1: AN1-like Zinc finger
SM00614	ZnF_BED: BED zinc finger
SM00440	ZnF_C2C2: C2C2 Zinc finger
SM00355	ZnF_C2H2: zinc finger
SM00343	ZnF_C2HC: zinc finger
SM00356	ZnF_C3H1: zinc finger
SM00399	ZnF_C4: c4 zinc finger in nuclear hormone receptors
SM00704	ZnF_CDGSH: CDGSH-type zinc finger. Function unknown.
SM00400	ZnF_CHCC: zinc finger
SM00586	ZnF_DBF: Zinc finger in DBF-like proteins
SM00401	ZnF_GATA: zinc finger binding to DNA consensus sequence [AT]GATA[AG] 
SM00438	ZnF_NFX: 
SM00575	ZnF_PMZ: plant mutator transposase zinc finger
SM00734	ZnF_Rad18: Rad18-like CCHC zinc finger
SM00547	ZnF_RBZ: Zinc finger domain
SM00551	ZnF_TAZ: TAZ zinc finger, present in p300 and CBP 
SM00597	ZnF_TTF: 
SM00451	ZnF_U1: U1-like zinc finger
SM00290	ZnF_UBP: Ubiquitin Carboxyl-terminal Hydrolase-like zinc finger
SM00396	ZnF_UBR1: Putative zinc finger in N-recognin, a recognition component of the N-end rule pathway
SM00291	ZnF_ZZ: Zinc-binding domain, present in Dystrophin, CREB-binding protein.
SM00235	ZnMc: Zinc-dependent metalloprotease
SM00631	Zn_pept: 
SM00241	ZP: Zona pellucida (ZP) domain
SM00709	Zpr1: Duplicated domain in the epidermal growth factor- and elongation factor-1alpha-binding protein Zpr1. Also present in archaeal proteins.
SM00218	ZU5: Domain present in ZO-1 and Unc5-like netrin receptors
