PIRSF000001	cytochrome c/cytochrome c2
PIRSF015730	DNA-binding protein, TFAR19 type
PIRSF015731	hypothetical protein, Mycobacterium tuberculosis Rv1782 type
PIRSF015732	hypothetical protein, Bacillus subtilis YtqB type
PIRSF015736	maleate cis-trans isomerase
PIRSF015738	hypothetical protein, Neisseria meningitidis NMB0650 type
PIRSF015739	DNA protection protein DprA
PIRSF015740	uncharacterized conserved protein SP0921
PIRSF015742	serine-protein kinase anti-sigma B/F factor
PIRSF015744	Fms-related tyrosine kinase 3 ligand/SL cytokine
PIRSF015745	splicing factor 3A subunit 3
PIRSF015746	putative PHD-type Nucleic acid binding protein
PIRSF015747	Arabidopsis thaliana hypothetical protein T12K4.160
PIRSF015748	SARP transcriptional activator, DnrI type
PIRSF015749	suppressor of actin 1
PIRSF015750	riboflavin synthase, archaeal type
PIRSF015751	PIRSF015751
PIRSF015752	deoxyribonuclease II 
PIRSF015753	glutathione S-transferase
PIRSF015754	PIRSF015754
PIRSF015755	PIRSF015755
PIRSF015756	malate dehydrogenase (acceptor)
PIRSF015758	PIRSF015758
PIRSF015759	lysosomal alpha-mannosidase
PIRSF015761	general secretion pathway protein L
PIRSF015762	PIRSF015762
PIRSF015764	PIRSF015764
PIRSF015765	PIRSF015765
PIRSF015767	transmembrane 9 superfamily protein, member 3 type
PIRSF015769	mannosyl-oligosaccharide glucosidase
PIRSF015770	small nuclear ribonucleoprotein Sm D2
PIRSF015771	PIRSF015771
PIRSF015772	vaccinia virus probable 21.9K protein
PIRSF015773	vaccinia virus probable 49.1K protein
PIRSF015775	vaccinia virus probable 33.6K protein
PIRSF015776	vaccinia virus probable 18.9K protein
PIRSF015780	hypothetical protein, Streptomyces coelicolor SC5F2A.12c type
PIRSF015790	Caenorhabditis elegans hypothetical protein Y116A8C.20
PIRSF015791	biphenyl dioxygenase, BphX type
PIRSF015792	uncharacterized conserved protein
PIRSF015793	uncharacterized conserved protein
PIRSF015794	Molluscum contagiosum virus 1 hypothetical protein 128R
PIRSF015795	Molluscum contagiosum virus 1 hypothetical protein 125L
PIRSF015796	Molluscum contagiosum virus 1 hypothetical protein 114R
PIRSF015797	virion core protein, vaccinia E11L type
PIRSF015799	hypothetical protein, Caenorhabditis elegans F31F7.1 type
PIRSF015800	heparan sulfate N-sulfotransferase 3
PIRSF015804	SCG gene family protein
PIRSF015809	hypothetical protein, Caenorhabditis elegans T01G9.2b type
PIRSF015813	1-acyl-sn-glycerol-3-phosphate acyltransferase
PIRSF015815	polyubiquitin-tagged protein recognition complex, Ufd1 component
PIRSF015816	dynein light chain, Tctex-type
PIRSF015819	26S proteasome regulatory complex, non-ATPase subcomplex, RPN10/PSMD4 subunit
PIRSF015820	uncharacterized conserved protein
PIRSF015823	PIRSF015823
PIRSF015824	late-embryogenesis abundant protein
PIRSF015827	sigma-54 modulation protein
PIRSF015828	carboxysome/polyhedral organelle shell protein, CcmK/EutK/PduA type
PIRSF015830	transposase
PIRSF015832	anti-sigma regulatory factor (Ser/Thr protein kinase)
PIRSF015834	hypothetical protein, Synechocystis slr0049 type
PIRSF015835	phosphorylase b kinase, regulatory beta subunit
PIRSF015836	leucine zipper-containing protein AT103
PIRSF015837	PIRSF015837
PIRSF015839	caspase-3, 6, 7
PIRSF015840	Lem3/Cdc50
PIRSF015841	MAX interacting protein
PIRSF015843	PIRSF015843
PIRSF015844	phosphorylase b kinase, regulatory subunit alpha
PIRSF015845	PIRSF015845
PIRSF015846	leukocyte surface antigen CD47
PIRSF015848	telomere end binding protein, alpha subunit
PIRSF015849	transcription initiation factor IIF, beta subunit
PIRSF015850	PIRSF015850
PIRSF015851	PIRSF015851
PIRSF015852	aminoglycoside resistance rRNA methylase, Grm type
PIRSF015853	D-aminopeptidase, DppA type
PIRSF015854	syndecan-1
PIRSF015855	type III restriction-modification system methyltransferase, KpnI type
PIRSF015856	virulence pGP6-D-related protein
PIRSF015858	peroxiredoxin
PIRSF015859	Tetraspan transmembrane protein L6H
PIRSF015861	apolipoprotein B mRNA editing enzyme, catalytic chain 1
PIRSF015862	hypothetical protein, Campylobacter jejuni Cj1270c type
PIRSF015863	hypothetical protein, Neisseria meningitidis NMB1630 type
PIRSF015864	transporter DME family
PIRSF015865	hypothetical protein, Pyrococcus horikoshii PH1656 type
PIRSF015868	uncharacterized Helicobacter protein, HP0120 type
PIRSF015872	ATP-binding protein PhnP (PhnP)
PIRSF015873	formylmethanofuran dehydrogenase, subunit D
PIRSF015874	probable Potassium channel
PIRSF015875	membrane protein
PIRSF015876	hypothetical protein, Pyrococcus abyssi PAB1509 type
PIRSF015877	uncharacterized Zn-finger protein
PIRSF015880	S-adenosyl-L-methionine dependent rRNA methyltransferase, Nep1 type
PIRSF015883	bifunctional ADP-dependent phosphofructokinase/glucokinase
PIRSF015885	hypothetical protein, Methanobacterium thermoautotrophicum MTH1109 type
PIRSF015886	PIRSF015886
PIRSF015889	chloride channel protein ClC-K
PIRSF015891	primase-related protein
PIRSF015892	N-myristoyl transferase
PIRSF015894	arginine N-methyltransferase, PRMT5 type
PIRSF015895	prenylated rab acceptor
PIRSF015897	PRIB5 protein
PIRSF015898	synaptic glycoprotein SC2
PIRSF015899	PIRSF015899
PIRSF015901	nascent polypeptide-associated complex, alpha subunit
PIRSF015902	uncharacterized conserved protein
PIRSF015906	tetrahydrodipicolinate n-succinyltransferase
PIRSF015907	PIRSF015907
PIRSF015908	PIRSF015908
PIRSF015909	chaperone protein HscB
PIRSF015918	chaperone protein HscB
PIRSF015919	TFIIH basal transcription factor complex, SSL1 subunit
PIRSF015920	exportin 1
PIRSF015921	fatty acid desaturase/sphingolipid desaturase
PIRSF015922	cullin-associated NEDD8-dissociated protein
PIRSF015943	vesicle coat complex COPI, zeta subunit
PIRSF015944	Golgi-localized, gamma ear-containing, ARF-binding protein
PIRSF015945	V-type ATPase, subunit F
PIRSF015947	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit
PIRSF015948	hypothetical protein, Schizosaccharomyces pombe SPAC4H3.03c type
PIRSF015949	U3 small nucleolar ribonucleoprotein (snoRNP) complex, Imp4p subunit
PIRSF015950	diphosphomevalonate decarboxylase
PIRSF015951	26S proteasome non-ATPase regulatory subunit 6
PIRSF015952	U3 small nucleolar ribonucleoprotein (snoRNP) complex, Utp11p subunit
PIRSF015953	PIRSF015953
PIRSF015954	PIRSF015954
PIRSF015955	uncharacterized conserved protein
PIRSF015956	PIRSF015956
PIRSF015957	uncharacterized conserved protein
PIRSF015965	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit
PIRSF015970	splicing factor 3B subunit 1 (SF3b155)
PIRSF015971	uncharacterized conserved protein
PIRSF015972	hypothetical protein, Caenorhabditis elegans C54H2.5 type
PIRSF015974	CLN3 protein/Battenin (Batten disease protein)
PIRSF015975	hypothetical protein, Streptomyces coelicolor SC1C2.20c type
PIRSF015976	insulin-like peptide beta-type
PIRSF015980	uncharacterized conserved protein
PIRSF015981	uncharacterized conserved protein
PIRSF015982	uncharacterized conserved protein
PIRSF015983	uncharacterized conserved protein
PIRSF015986	Caenorhabditis elegans hypothetical protein ZC395.10
PIRSF015987	hypothetical protein, Caenorhabditis elegans Y37A1B.5 type
PIRSF015990	activated RNA polymerase II transcriptional coactivator p15
PIRSF015993	hypothetical protein, Caenorhabditis elegans F49H6.13 type
PIRSF016000	2-acylglycerol O-acyltransferase 1
PIRSF016002	osmotic stress-induced zinc-finger protein
PIRSF016004	prophage structural protein
PIRSF016005	unc-50 homolog
PIRSF016006	PIRSF016006
PIRSF016007	uncharacterized conserved protein ML0004
PIRSF016008	DNA-binding protein WRKY3
PIRSF016009	PIRSF016009
PIRSF016012	uncharacterized protein with polyketide synthase domain
PIRSF016013	endoplasmic reticulum retrieval protein, Rer1p type
PIRSF016015	prosystemin
PIRSF016016	zinc finger protein CONSTANS-LIKE 1
PIRSF016018	carotenoid oxygenase
PIRSF016020	hexose-6-phosphate mutarotase
PIRSF016021	AT-hook DNA-binding protein
PIRSF016024	PIRSF016024
PIRSF016025	maize hypothetical protein ESR3g2
PIRSF016028	metacaspase, plant type
PIRSF016030	uncharacterized conserved protein
PIRSF016032	renin-binding protein
PIRSF016033	esterase
PIRSF016034	2-phosphosulfolactate phosphatase
PIRSF016035	mapeg family protein
PIRSF016042	PIRSF016042
PIRSF016043	MYB-like DNA-binding protein
PIRSF016044	translocon-associated protein, delta subunit
PIRSF016046	PIRSF016046
PIRSF016047	PIRSF016047
PIRSF016049	mannonate dehydratase UxuA
PIRSF016051	alpha-1,2-galactosyltransferase/alpha-1,6-mannosyltransferase subunits
PIRSF016055	Na(+)-transporting NADH:ubiquinone oxidoreductase, NqrB subunit
PIRSF016056	sodium-translocating NADH dehydrogenase (ubiquinone) alpha chain
PIRSF016057	eukaryotic translation initiation factor 4E-binding protein
PIRSF016058	phloem lectin, PP2 type
PIRSF016059	uncharacterized conserved protein
PIRSF016061	PIRSF016061
PIRSF016062	sulfhydrogenase 1 subunit beta
PIRSF016064	uncharacterized protein YhiR
PIRSF016067	thrombopoietin
PIRSF016070	virulence plasmid protein PGP3-D, Chlamydiae type
PIRSF016071	virulence plasmid protein, pGP2-D type
PIRSF016075	Tap44 precursor, likely involved in sporopollenin formation and/or deposition
PIRSF016076	PIRSF016076
PIRSF016080	type II restriction endonuclease, MboI type
PIRSF016083	urease accessory protein UreD
PIRSF016089	signal peptidase complex, SPC3 subunit
PIRSF016093	colanic acid capsular biosynthesis activation protein A
PIRSF016094	virulence protein involved in T-DNA processing, VirC2 type
PIRSF016095	endonuclease, VirD2 type
PIRSF016096	mobilization protein, ColE1 MobA/MbeA relaxae type
PIRSF016098	uncharacterized protein YceD
PIRSF016102	prenylated protein tyrosine phosphatase
PIRSF016103	sarcoglycan, alpha/epsilon types
PIRSF016104	phosphatidylinositol N-acetylglucosaminyltransferase, subunit C
PIRSF016105	PIRSF016105
PIRSF016106	S-adenosyl-L-methionine dependent methyltransferase, yhiQ bacterial type
PIRSF016107	nitroimidazole resistance protein, Nim type
PIRSF016109	PIRSF016109
PIRSF016111	PIRSF016111
PIRSF016112	PIRSF016112
PIRSF016113	PIRSF016113
PIRSF016114	PIRSF016114
PIRSF016116	uncharacterized protein with NAD-dependent epimerase/dehydratase domain, YeeZ type
PIRSF016117	hypothetical protein, Neisseria meningitidis NMB0975 type
PIRSF016120	uncharacterized protein with archaeal ATPase domain
PIRSF016121	hypothetical protein, Pyrococcus abyssi PAB1513 type
PIRSF016123	uncharacterized conserved protein
PIRSF016124	PIRSF016124
PIRSF016125	probable metal dependent hydrolase
PIRSF016128	uncharacterized conserved protein
PIRSF016129	hypothetical protein, Chlamydia trachomatis CT132 type
PIRSF016130	PIRSF016130
PIRSF016131	hypothetical protein, Chlamydia trachomatis CT567 type
PIRSF016132	PIRSF016132
PIRSF016133	polymorphic membrane protein E/F/H
PIRSF016134	uncharacterized conserved protein
PIRSF016135	PIRSF016135
PIRSF016138	uncharacterized conserved protein
PIRSF016140	probable periplasmic protein
PIRSF016141	conserved hypothetical protein TC0253
PIRSF016142	conserved hypothetical protein TC0279
PIRSF016148	PIRSF016148
PIRSF016150	alpha-(1,3)-fucosyltransferase/alpha-(1,4)-fucosyltransferase, Helicobacter type
PIRSF016151	PIRSF016151
PIRSF016152	hypothetical protein, Chlamydia trachomatis CT266 type
PIRSF016153	hypothetical protein, Chlamydia trachomatis CT764 type
PIRSF016154	nucleic acid-binding protein with PIN domain, PH0500 type
PIRSF016158	methenyltetrahydromethanopterin dehydrogenase, Hmd type
PIRSF016160	exonuclease with PIN domain, archaeal AF0591 type
PIRSF016161	outer membrane lipoprotein carrier protein precursor
PIRSF016165	conserved hypothetical protein TC0239
PIRSF016167	conserved hypothetical protein TC0867
PIRSF016168	PIRSF016168
PIRSF016171	PIRSF016171
PIRSF016173	hypothetical protein, Chlamydia trachomatis CT234 type
PIRSF016174	hypothetical protein, Chlamydia trachomatis CT573 type
PIRSF016175	uncharacterized protein related to protein prenyltransferase beta subunit
PIRSF016176	probable membrane protein MmpS5
PIRSF016177	ABC-type molybdate/tungstate transport system, solute-binding component
PIRSF016178	hypothetical protein, Escherichia coli b2431 type
PIRSF016179	uncharacterized conserved protein
PIRSF016182	uncharacterized conserved protein TC0887
PIRSF016183	uncharacterized conserved protein
PIRSF016184	isomerase, PhzF type
PIRSF016187	hypothetical protein, Pyrococcus abyssi PAB1021 type
PIRSF016190	hypothetical protein, Mycobacterium tuberculosis Rv1945 type
PIRSF016191	uncharacterized conserved protein
PIRSF016193	PIRSF016193
PIRSF016195	membrane protein
PIRSF016196	PIRSF016196
PIRSF016199	PIRSF016199
PIRSF016200	PIRSF016200
PIRSF016201	hypothetical protein, Pyrococcus horikoshii PH0466 type
PIRSF016202	glycosidase, PH1107 type
PIRSF016203	uncharacterized glycosyl hydrolase
PIRSF016204	hypothetical protein, Haemophilus influenzae HI0350 type
PIRSF016205	copper resistance protein D
PIRSF016206	PIRSF016206
PIRSF016207	PIRSF016207
PIRSF016209	hypothetical protein, Pyrococcus abyssi PAB0743 type
PIRSF016210	uncharacterized conserved protein
PIRSF016211	hypothetical protein, Borrelia burgdorferi BBK01 type
PIRSF016212	Euo protein
PIRSF016213	PIRSF016213
PIRSF016214	NAD(P)H-dependent FMN reductase
PIRSF016216	uncharacterized protein involved in DNA repair
PIRSF016217	hypothetical protein, Escherichia coli b2817 type
PIRSF016219	DNA binding protein RFX2
PIRSF016220	PIRSF016220
PIRSF016221	PIRSF016221
PIRSF016222	PIRSF016222
PIRSF016223	PIRSF016223
PIRSF016224	hypothetical protein, Arabidopsis thaliana T22P22.120 type
PIRSF016225	hypothetical protein, Arabidopsis thaliana F15N18.90 type
PIRSF016226	hypothetical protein, Arabidopsis thaliana F15N18.10 type
PIRSF016227	PIRSF016227
PIRSF016228	Arabidopsis thaliana hypothetical protein F15A17.90
PIRSF016229	Rop guanine nucleotide exchange factor
PIRSF016230	hypothetical protein, Arabidopsis thaliana F7A7.100 type
PIRSF016231	PIRSF016231
PIRSF016232	Arabidopsis thaliana hypothetical protein T20K12.280
PIRSF016233	hypothetical protein, Arabidopsis thaliana T20K12.190 type
PIRSF016234	hypothetical protein, Arabidopsis thaliana T20K12.110 type
PIRSF016235	pollen surface protein
PIRSF016237	RING-box protein/anaphase-promoting complex, subunit 11
PIRSF016238	glial cell line-derived neurotrophic factor [Parent=PIRSF800009]
PIRSF016239	N-glycosylase/DNA lyase
PIRSF016240	PIRSF016240
PIRSF016241	aerobactin biosynthesis protein IucC
PIRSF016242	2,3-dehydratase
PIRSF016243	frequency clock protein
PIRSF016244	regulatory protein
PIRSF016246	PIRSF016246
PIRSF016247	stachyose synthase
PIRSF016248	PIRSF016248
PIRSF016249	PIRSF016249
PIRSF016252	hypothetical protein, Arabidopsis thaliana F9D24.90 type
PIRSF016253	uncharacterized conserved protein
PIRSF016254	hypothetical protein, Arabidopsis thaliana F2K15.70 type
PIRSF016255	eukaryotic translation initiation factor 3, subunit 6
PIRSF016256	PIRSF016256
PIRSF016257	PIRSF016257
PIRSF016258	hemoglobin like oxygen carrier
PIRSF016259	major membrane protein I
PIRSF016260	Mycobacterium leprae hypothetical protein MLCB1610.17
PIRSF016261	hypothetical protein, Mycobacterium leprae MLCB22.21 type
PIRSF016262	lipoyltransferase
PIRSF016263	PIRSF016263
PIRSF016265	Pseudomonas aeruginosa hypothetical protein FIIR2
PIRSF016266	major tail sheath protein
PIRSF016268	PIRSF016268
PIRSF016270	PIRSF016270
PIRSF016271	immunoevasin U21
PIRSF016272	PIRSF016272
PIRSF016273	PIRSF016273
PIRSF016274	PIRSF016274
PIRSF016275	DNA polymerase II, large subunit, Euryarchaea type
PIRSF016276	PIRSF016276
PIRSF016277	Yop virulence system, GTPase-activating protein YopE
PIRSF016278	hypothetical protein, Yersinia pestis Y0044 type
PIRSF016279	PIRSF016279
PIRSF016280	PIRSF016280
PIRSF016281	translation initiation factor eIF-3, subunit d
PIRSF016282	PIRSF016282
PIRSF016283	PIRSF016283
PIRSF016284	PIRSF016284
PIRSF016285	uncharacterized conserved protein
PIRSF016287	PIRSF016287
PIRSF016288	PIRSF016288
PIRSF016290	PIRSF016290
PIRSF016292	PIRSF016292
PIRSF016293	PIRSF016293
PIRSF016295	PIRSF016295
PIRSF016296	PIRSF016296
PIRSF016297	PIRSF016297
PIRSF016298	PIRSF016298
PIRSF016299	PIRSF016299
PIRSF016300	PIRSF016300
PIRSF016301	PIRSF016301
PIRSF016302	mannan endo-1,6-alpha-mannosidase
PIRSF016303	hydantoin racemase
PIRSF016305	leucine carboxyl methyltransferase, LCMT1 type
PIRSF016306	hypothetical protein, Schizosaccharomyces pombe SPAC9B6.11c type
PIRSF016307	PIRSF016307
PIRSF016308	ubiquitin-specific protease (ubiquitin carboxyl-terminal hydrolase)
PIRSF016309	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase/dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
PIRSF016310	hypothetical protein, Schizosaccharomyces pombe SPBC3E7.07c type
PIRSF016312	exportin-2
PIRSF016313	PIRSF016313
PIRSF016315	actin-related protein 2/3 complex, subunit 3
PIRSF016316	PIRSF016316
PIRSF016318	translation machinery-associated protein 22
PIRSF016319	hypothetical protein, Schizosaccharomyces pombe SPBC13G1.11 type
PIRSF016320	SURF1 protein
PIRSF016322	ubiquitin carboxyl-terminal hydrolase
PIRSF016323	tRNA (guanine-N(1)-)-methyltransferase, eukaryotic type
PIRSF016324	PIRSF016324
PIRSF016325	phosphotyrosyl phosphatase activator
PIRSF016328	hypothetical protein, Schizosaccharomyces pombe SPAC31A2.10 type
PIRSF016329	PIRSF016329
PIRSF016330	hypothetical protein, Schizosaccharomyces pombe SPAC23C11.13c type
PIRSF016331	PIRSF016331
PIRSF016332	PIRSF016332
PIRSF016333	vaccinia virus probable 29.8K protein
PIRSF016336	pyridoxamine 5'-phosphate oxidase-related, fmn-binding
PIRSF016338	PIRSF016338
PIRSF016340	PIRSF016340
PIRSF016345	pyridoxine/pyridoxamine 5'-phosphate oxidase
PIRSF016346	PIRSF016346
PIRSF016349	PIRSF016349
PIRSF016350	hypothetical protein, Streptomyces coelicolor SC4H2.09 type
PIRSF016355	hypothetical protein, Caenorhabditis elegans F54D10.8 type
PIRSF016360	dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit
PIRSF016361	hypothetical protein, Caenorhabditis elegans K11D12.2 type
PIRSF016362	hypothetical protein, Caenorhabditis elegans B0546.5 type
PIRSF016363	hypothetical protein, Caenorhabditis elegans C24D10.2 type
PIRSF016365	Caenorhabditis elegans hypothetical protein K09F6.1
PIRSF016372	serpentine receptor class t
PIRSF016373	hypothetical protein, Caenorhabditis elegans B0547.1 type
PIRSF016374	hypothetical protein, Caenorhabditis elegans ZC513.6 type
PIRSF016375	variola major virus hypothetical protein B18R
PIRSF016376	PIRSF016376
PIRSF016377	Caenorhabditis elegans hypothetical protein ZK899.6
PIRSF016379	equilibrative nucleoside transporter
PIRSF016382	Caenorhabditis elegans hypothetical protein Y6G8.2
PIRSF016383	uncharacterized conserved protein
PIRSF016386	Caenorhabditis elegans hypothetical protein Y38H6C.10
PIRSF016391	hypothetical protein, Caenorhabditis elegans T25G3.3 type
PIRSF016393	enhancer of rudimentary
PIRSF016394	U6 snRNA-associated Sm-like protein LSm2
PIRSF016395	hypothetical protein, Caenorhabditis elegans T08G11.2 type
PIRSF016396	prefoldin, subunit 3
PIRSF016398	transcription initiation factor IIE, beta subunit
PIRSF016399	hypothetical protein, Caenorhabditis elegans K09E9.2 type
PIRSF016400	translocon-associated protein, beta subunit
PIRSF016402	Caenorhabditis elegans hypothetical protein F47H4.4
PIRSF016408	phosphoacetylglucosamine mutase
PIRSF016409	hypothetical protein, Caenorhabditis elegans F14E5.2 type
PIRSF016410	gamma-butyrobetaine dioxygenase
PIRSF016411	hypothetical protein, Caenorhabditis elegans C54G4.2 type
PIRSF016412	Caenorhabditis elegans hypothetical protein C53B4.4c
PIRSF016413	beta-1,3-glucuronyltransferase
PIRSF016415	hypothetical protein, Caenorhabditis elegans C18E9.2 type
PIRSF016416	hypothetical protein, Caenorhabditis elegans C05E7.1b type
PIRSF016418	hypothetical protein, Plasmodium falciparum C0120w type
PIRSF016420	auxin-repressed protein
PIRSF016422	PIRSF016422
PIRSF016423	hypothetical protein, Yersinia pestis Y1019 type
PIRSF016425	uncharacterized conserved protein alr4158
PIRSF016426	HNH endonuclease, Bacteriophage phi105 type
PIRSF016427	Streptococcus phage phi-O1205 hypothetical protein 11
PIRSF016428	PIRSF016428
PIRSF016429	alpha-1,4-glucan-protein synthase [UDP-forming]
PIRSF016430	PIRSF016430
PIRSF016431	diterpene cyclase, Alphaproteobacteria type
PIRSF016432	BHLH containing MYC-related DNA binding protein
PIRSF016433	DNA primase, viral LEF1 type
PIRSF016435	paraoxonase
PIRSF016438	arabinogalactan
PIRSF016439	uroplakin-2
PIRSF016440	PIRSF016440
PIRSF016441	general transcription factor II-I
PIRSF016442	PIRSF016442
PIRSF016444	
PIRSF016445	PIRSF016445
PIRSF016446	PIRSF016446
PIRSF016447	PIRSF016447
PIRSF016448	PIRSF016448
PIRSF016449	PIRSF016449
PIRSF016451	remorin with DNA-binding domain
PIRSF016452	ripening-related protein-like, contains similarity to pectinesterase
PIRSF016453	PIRSF016453
PIRSF016454	conserved protein with RING finger domain, T4C9.30 type
PIRSF016455	PIRSF016455
PIRSF016458	salt-stress root membraneprotein
PIRSF016459	hypothetical protein, Arabidopsis thaliana T19P19.170 type
PIRSF016461	Arabidopsis thaliana conserved protein with F-box domain, At2g33200 type
PIRSF016462	PIRSF016462
PIRSF016463	signal recognition particle 14 kDa protein
PIRSF016464	PIRSF016464
PIRSF016465	kinase associated protein phosphatase
PIRSF016468	pre-mRNA-splicing factor RDS3
PIRSF016470	Arabidopsis thaliana hypothetical protein At2g34230
PIRSF016471	Arabidopsis thaliana hypothetical protein F8M12.2
PIRSF016477	prefoldin, subunit 4
PIRSF016478	oatomer, epsilon subunit
PIRSF016480	F pilin acetylation protein (TraX)
PIRSF016481	type IV pilus biogenesis lipoprotein PilP
PIRSF016482	type IV pilus assembly protein PilO
PIRSF016483	PIRSF016483
PIRSF016484	PIRSF016484
PIRSF016485	PIRSF016485
PIRSF016487	uncharacterized stand-alone CYTH domain protein, short type
PIRSF016490	uncharacterized conserved protein, YhiN type
PIRSF016491	uncharacterized conserved protein
PIRSF016492	PIRSF016492
PIRSF016493	glycyl monoaminopeptidase
PIRSF016495	uncharacterized conserved protein
PIRSF016496	fosfomycin resistance kinase, FomA type
PIRSF016498	uncharacterized conserved protein
PIRSF016499	PIRSF016499
PIRSF016500	PIRSF016500
PIRSF016501	dextranase
PIRSF016502	urea transporter
PIRSF016503	PIRSF016503
PIRSF016504	PIRSF016504
PIRSF016505	outer surface protein F OspF
PIRSF016506	PIRSF016506
PIRSF016509	tetrahydromethanopterin S-methyltransferase, subunit E
PIRSF016511	cyclin, fungal Pcl/HCS26 type
PIRSF016513	PIRSF016513
PIRSF016514	PIRSF016514
PIRSF016515	PIRSF016515
PIRSF016516	allantoicase
PIRSF016518	PIRSF016518
PIRSF016521	acyl-CoA thioesterase (hydrolase)
PIRSF016522	myelin-oligodendrocyte glycoprotein
PIRSF016523	PIRSF016523
PIRSF016525	cytochrome b561
PIRSF016527	tumor necrosis factor ligand superfamily protein, CD40 ligand type
PIRSF016529	protamine
PIRSF016530	glycoprotein, GlyCAM-1 type
PIRSF016531	PIRSF016531
PIRSF016533	sperm surface protein Sp17
PIRSF016534	PIRSF016534
PIRSF016535	kinesin light chain
PIRSF016537	PIRSF016537
PIRSF016539	Lysosomal Pro-X carboxypeptidase / Dipeptidyl-peptidase 2
PIRSF016541	peroxisomal biogenesis factor 19
PIRSF016542	programmed cell death protein 2 homolog
PIRSF016543	PIRSF016543
PIRSF016544	biogenesis of lysosome-related organelles complex-1 subunit 1
PIRSF016545	adrenomedullin
PIRSF016547	PIRSF016547
PIRSF016548	regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ type
PIRSF016549	PIRSF016549
PIRSF016550	Rab protein geranylgeranyltransferase, component A, eukaryotic type
PIRSF016551	SAS complex, SAS5 subunit/transcription initiation factor IID, subunit 14
PIRSF016552	tetrahydromethanopterin S-methyltransferase, subunit D
PIRSF016553	TGF beta-induced protein bIGH3/osteoblast-specific factor 2
PIRSF016554	neuralized protein
PIRSF016556	PIRSF016556
PIRSF016557	tyrosine-protein phosphatase, CpsB type
PIRSF016559	PIRSF016559
PIRSF016560	general secretion pathway protein N
PIRSF016561	PIRSF016561
PIRSF016563	pherophorin
PIRSF016564	NADH dehydrogenase [ubiquinone] (complex I), iron-sulfur protein 6, mitochondrial type
PIRSF016565	protein PucC
PIRSF016567	interferon-alpha/beta receptor 1
PIRSF016568	PIRSF016568
PIRSF016569	PIRSF016569
PIRSF016570	Ku DNA-binding complex, Ku80 subunit [Parent=PIRSF800001]
PIRSF016571	C/EBP-zeta (C/EBP-homologous protein)
PIRSF016572	PIRSF016572
PIRSF016573	metalloprotease, snapalysin type
PIRSF016575	PIRSF016575
PIRSF016576	PIRSF016576
PIRSF016577	PIRSF016577
PIRSF016578	flavin-dependent oxidoreductase, HsaA type
PIRSF016579	PIRSF016579
PIRSF016580	acyl-protein synthetase, LuxE type
PIRSF016581	interferon-induced transmembrane protein
PIRSF016582	PIRSF016582
PIRSF016583	PIRSF016583
PIRSF016584	type II restriction endonuclease, HindVP type
PIRSF016585	PIRSF016585
PIRSF016590	PIRSF016590
PIRSF016591	beta-1,4-galactosyltransferase, B4GalT1-6 types
PIRSF016592	adhesin, YadA type
PIRSF016594	RAPsyn
PIRSF016595	PIRSF016595
PIRSF016596	PIRSF016596
PIRSF016597	PIRSF016597
PIRSF016598	PIRSF016598
PIRSF016599	aminoacyl-histidine dipeptidase
PIRSF016601	PIRSF016601
PIRSF016602	polyketide biosynthesis protein CurC
PIRSF016603	phosphate-repressible acid phosphatase
PIRSF016604	odorant binding protein/pheromone binding protein, Neoptera type
PIRSF016607	acyl-CoA thioesterase
PIRSF016608	PIRSF016608
PIRSF016609	PIRSF016609
PIRSF016610	PIRSF016610
PIRSF016612	PIRSF016612
PIRSF016613	platelet-activating factor acetylhydrolase IB beta-like subunit
PIRSF016616	histamine N-methyltransferase
PIRSF016617	PIRSF016617
PIRSF016618	PIRSF016618
PIRSF016620	PIRSF016620
PIRSF016621	PIRSF016621
PIRSF016622	deoxyribonuclease I
PIRSF016623	cyclin-dependent kinase inhibitor p21
PIRSF016624	protease, Mu phage/prophage I type
PIRSF016625	PIRSF016625
PIRSF016627	palmitoyl-protein thioesterase
PIRSF016628	PIRSF016628
PIRSF016629	60 kda SS-A/Ro ribonucleoprotein
PIRSF016630	CD19
PIRSF016631	transcription factor TFC11
PIRSF016632	phospholipase D, actinobacteria/fungal types
PIRSF016633	uncharacterized conserved protein
PIRSF016635	PIRSF016635
PIRSF016636	alginate O-acetyltransferase AlgI/D-alanyl transfer protein DltB
PIRSF016637	PIRSF016637
PIRSF016638	conserved hypothetical protein TC0201
PIRSF016639	conserved hypothetical protein TC0226
PIRSF016640	conserved hypothetical protein TC0290
PIRSF016641	conserved hypothetical protein TC0313
PIRSF016642	uncharacterized protein with glutamine amidotransferase-like domain
PIRSF016643	DNA polymerase III, delta subunit
PIRSF016644	conserved hypothetical protein TC0450
PIRSF016645	conserved hypothetical protein TC0548
PIRSF016647	uncharacterized conserved protein
PIRSF016648	conserved hypothetical protein TC0755
PIRSF016649	conserved hypothetical protein TC0844
PIRSF016650	conserved hypothetical protein TC0890
